example ID,text,respondent,sex,year of birth,language,language group,education,comments,non-standard government,selecting predicate,type of speaker,context type,toponym/year,initial phoneme,omitted,preposition,preposition_eng,PP
1,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,,consonant,,на,na 'on(to)',на базар
2,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,у,u 'at',у нас
3,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,за,za 'behind; for',за трудодни
4,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,за,za 'behind; for',за трудодни
5,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,,consonant,,на,na 'on(to)',на базар
6,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,на,na 'on(to)',на машинах
7,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,toponym,consonant,,в,v 'in(to)',в Гуниб
8,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,toponym,consonant,,в,v 'in(to)',в Гуниб
9,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,у,u 'at',у кого
10,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,toponym,consonant,,через,čerez 'via/through',через Чох
11,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,toponym,consonant,,до,"do 'up to, until'",до Кумуха
12,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,у,u 'at',у нас
13,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,toponym,consonant,,в,v 'in(to)',в Кумухе
1207,2010-Archib-1,archib.арчиб.add.syn-1,f,1965,Archi,Lezgic,higher education,,в данном случае,,,temporal,,consonant,да,в,v 'in(to)',данный случай
14,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,,consonant,,в,v 'in(to)',в наших магазинах
15,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,toponym,vowel,,в,v 'in(to)',в Олоне
16,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,,consonant,,в,v 'in(to)',в села Гунибского района
17,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,toponym,consonant,,в,v 'in(to)',в Салта
1214,2010-Archib-1,archib.арчиб.add.syn-1,f,1965,Archi,Lezgic,higher education,,,,,temporal,temp_point,consonant,да,в,v 'in(to)',тысяча девятьсот девяносто втором году
18,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,toponym,consonant,да,в,v 'in(to)',Кегер
19,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,toponym,consonant,да,в,v 'in(to)',Гуниб
20,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,,consonant,,из,"iz 'from, of'",из села
21,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,,consonant,,из,"iz 'from, of'",из лахского села
22,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,vowel,,на,na 'on(to)',на этом
23,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,,vowel,,на,na 'on(to)',на этой горе
24,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,в,v 'in(to)',в подарок
25,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,,consonant,,из,"iz 'from, of'",из нашего
26,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,toponym,consonant,,из,"iz 'from, of'",из Дагестана
27,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,от,ot 'from',от тоски
28,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,у,u 'at',у ней
29,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,к,k 'to',к нам
30,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,spatial,toponym,consonant,,из,"iz 'from, of'",из Гунибского района
31,2013-Megeb-2,shangoda.мегеб.syn-116,f,1936,Mehweb Dargwa,Dargwa,higher education,,,,,other,,consonant,,у,u 'at',у них
